itemID,descr
SP,"The S&P 500, or simply the S&P, is a stock market index that measures the stock performance of 500 large companies listed on stock exchanges in the United States. It is one of the most commonly followed equity indices, and many consider it to be one of the best representations of the U.S. stock market."
NASDAQ,The NASDAQ Composite is a stock market index of the common stocks and similar securities listed on the Nasdaq stock market. Along with the Dow Jones Industrial Average and S&P 500 it is one of the three most-followed indices in US stock markets.
DOW,"The Dow Jones Industrial Average, Dow Jones, or simply the Dow, is a stock market index that measures the stock performance of 30 large companies listed on stock exchanges in the United States."
AAPL,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services. It is considered one of the Big Four technology companies, alongside Amazon, Google, and Microsoft."
AMZN,"Amazon.com, Inc., is an American multinational conglomerate technology company based in Seattle, with 750,000 employees. It focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is considered one of the Big Four tech companies, along with Google, Apple, and Microsoft."
GE,General Electric Company is an American multinational conglomerate incorporated in New York City and headquartered in Boston.
PG,"The Procter & Gamble Company is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio, founded in 1837 by William Procter and James Gamble."
SHLDQ,"Sears, Roebuck and Company, colloquially known as Sears, is an American chain of department stores founded by Richard Warren Sears and Alvah Curtis Roebuck in 1893, and was reincorporated by Richard Sears and Julius Rosenwald in 1906."
JCP,"JCPenney Company, Inc is an American department store chain with 865 locations in 49 U.S. states and Puerto Rico."
FMCC,"The Federal Home Loan Mortgage Corporation, known as Freddie Mac, is a public government-sponsored enterprise, headquartered in Tysons Corner, Virginia. Freddie Mac is ranked No. 38 on the 2018 Fortune 500 list of the largest United States corporations by total revenue."
BB,"BlackBerry smartphones, tablets, and services were originally designed and marketed by Canadian company BlackBerry Limited."
CHK,Chesapeake Energy Corporation is a company engaged in hydrocarbon exploration. It is headquartered in Oklahoma City. The company is named after the founder's love for the Chesapeake Bay region. The company is ranked 309th on the Fortune 500.
AXL,"American Axle & Manufacturing, Inc., headquartered in Detroit, Michigan, is a manufacturer of automobile driveline and drivetrain components and systems."
BJRI,"BJ's Restaurants, Inc. is an American restaurant chain, headquartered in Huntington Beach, California. Some locations feature microbreweries that supply beer to other locations in the chain. The chain operates under the names BJ's Restaurant & Brewery, BJ's Restaurant & Brewhouse, BJ's Grill, and BJ's Pizza & Grill."
GWPH,GW Pharmaceuticals is a British biopharmaceutical company known for its multiple sclerosis treatment product nabiximols which was the first natural cannabis plant derivative to gain market approval in any country.
IBM,"International Business Machines Corporation is an American multinational technology company headquartered in Armonk, New York, with operations in over 170 countries."
CCL,"Carnival Cruise Line is an international cruise line with headquarters in Doral, Florida. It is a subsidiary of Carnival Corporation & plc. Its logo is the funnel like the funnels found on its ships, with red, white, and blue colors. The funnels are shaped like a whale's tail."
XOM,"Exxon Mobil Corporation, doing business as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999 by the merger of Exxon and Mobil."
GOLD,"Gold is a chemical element with the symbol Au and atomic number 79, making it one of the higher atomic number elements that occur naturally. In its purest form, it is a bright, slightly reddish yellow, dense, soft, malleable, and ductile metal. Chemically, gold is a transition metal and a group 11 element."
OIL,"Petroleum is a naturally occurring, yellowish-black liquid found in geological formations beneath the Earth's surface. It is commonly refined into various types of fuels."
WAGNER,"The T206 Honus Wagner baseball card depicts the Pittsburgh Pirates' Honus Wagner, a dead-ball era baseball player who is widely considered to be one of the best players of all time. The card was designed and issued by the American Tobacco Company (ATC) from 1909 to 1911 as part of its T206 series. Wagner refused to allow production of his baseball card to continue, either because he did not want children to buy cigarette packs to get his card, or because he wanted more compensation from the ATC. The ATC ended production of the Wagner card and a total of only 50 to 200 cards were ever distributed to the public (exact number unknown)."
VALENTINO,Valentino is a holiday teddy for Valentine's Day. He is a longtime favorite beanie baby.
ROMEO,"The 1939 Alfa Romeo 8C 2900 cars of the late 1930s were amongst the most powerful and most prestigious sport cars on the market. Like the Bugatti Atlantics, these large Alfa Romeos were fast and used the latest technology in contrast to the reliable but more conservative Mercedes Benz 540Ks or Duesenbergs from the period."
MARIO,"Super Mario 64 is a 1996 platform video game for the Nintendo 64 and the first in the Super Mario series to feature three-dimensional gameplay. As Mario, the player explores Princess Peach's castle and must rescue her from Bowser."
POKEMON,"Pokémon FireRed Version is an enhanced remake of the 1996 role-playing video game Pokémon Red. It was developed by Game Freak, published by The Pokémon Company and Nintendo for the Game Boy Advance."